Weight,Size,Speed,Class
103.0,107.0,18.0,panda
89.0,91.0,19.0,panda
95.0,91.0,25.0,panda
107.0,102.0,23.0,panda
104.0,92.0,23.0,panda
75.0,107.0,12.0,panda
95.0,95.0,20.0,panda
83.0,94.0,16.0,panda
84.0,107.0,21.0,panda
89.0,105.0,20.0,panda
86.0,107.0,25.0,panda
100.0,102.0,22.0,panda
93.0,93.0,24.0,panda
86.0,107.0,18.0,panda
89.0,96.0,15.0,panda
88.0,102.0,18.0,panda
100.0,102.0,20.0,panda
83.0,97.0,22.0,panda
88.0,101.0,31.0,panda
76.0,102.0,20.0,panda
59.0,99.0,15.0,panda
92.0,92.0,18.0,panda
94.0,99.0,18.0,panda
78.0,104.0,22.0,panda
108.0,94.0,12.0,panda
70.0,97.0,20.0,panda
85.0,95.0,21.0,panda
83.0,107.0,21.0,panda
100.0,101.0,17.0,panda
100.0,100.0,19.0,panda
87.0,94.0,13.0,panda
89.0,100.0,18.0,panda
76.0,94.0,17.0,panda
65.0,98.0,22.0,panda
82.0,94.0,14.0,panda
87.0,101.0,24.0,panda
97.0,100.0,27.0,panda
97.0,96.0,10.0,panda
81.0,99.0,22.0,panda
82.0,92.0,23.0,panda
75.0,90.0,17.0,panda
71.0,100.0,18.0,panda
68.0,98.0,19.0,panda
105.0,101.0,19.0,panda
80.0,109.0,18.0,panda
81.0,102.0,12.0,panda
72.0,93.0,26.0,panda
93.0,103.0,25.0,panda
69.0,91.0,16.0,panda
83.0,95.0,13.0,panda
76.0,97.0,23.0,panda
89.0,106.0,17.0,panda
80.0,94.0,21.0,panda
73.0,93.0,18.0,panda
85.0,97.0,23.0,panda
89.0,94.0,23.0,panda
86.0,103.0,16.0,panda
88.0,92.0,13.0,panda
79.0,92.0,12.0,panda
81.0,95.0,23.0,panda
78.0,95.0,14.0,panda
81.0,107.0,17.0,panda
77.0,102.0,17.0,panda
68.0,98.0,20.0,panda
87.0,91.0,10.0,panda
81.0,102.0,21.0,panda
69.0,92.0,23.0,panda
90.0,90.0,20.0,panda
76.0,103.0,18.0,panda
86.0,99.0,20.0,panda
92.0,102.0,22.0,panda
